
111149056 bytes (111 MB) copied, 1.001173 s, 111 MB/s
221249536 bytes (221 MB) copied, 2.006068 s, 110 MB/s
333447168 bytes (333 MB) copied, 3.014237 s, 111 MB/s
445644800 bytes (446 MB) copied, 4.022103 s, 111 MB/s
557842432 bytes (558 MB) copied, 5.029258 s, 111 MB/s
670040064 bytes (670 MB) copied, 6.035903 s, 111 MB/s
782237696 bytes (782 MB) copied, 7.044532 s, 111 MB/s
894435328 bytes (894 MB) copied, 8.051810 s, 111 MB/s
1006632960 bytes (1.0 GB) copied, 9.058779 s, 111 MB/s
1118830592 bytes (1.1 GB) copied, 10.065878 s, 111 MB/s
1231028224 bytes (1.2 GB) copied, 11.072650 s, 111 MB/s
1343225856 bytes (1.3 GB) copied, 12.079470 s, 111 MB/s
1455423488 bytes (1.5 GB) copied, 13.085711 s, 111 MB/s
1567621120 bytes (1.6 GB) copied, 14.092229 s, 111 MB/s
1679818752 bytes (1.7 GB) copied, 15.098295 s, 111 MB/s
1792016384 bytes (1.8 GB) copied, 16.104265 s, 111 MB/s
1904214016 bytes (1.9 GB) copied, 17.110163 s, 111 MB/s
2016411648 bytes (2.0 GB) copied, 18.116342 s, 111 MB/s
2128609280 bytes (2.1 GB) copied, 19.123245 s, 111 MB/s
2240806912 bytes (2.2 GB) copied, 20.130374 s, 111 MB/s
2353004544 bytes (2.4 GB) copied, 21.137711 s, 111 MB/s
2465202176 bytes (2.5 GB) copied, 22.144845 s, 111 MB/s
2577399808 bytes (2.6 GB) copied, 23.151491 s, 111 MB/s
2689597440 bytes (2.7 GB) copied, 24.157760 s, 111 MB/s
2801795072 bytes (2.8 GB) copied, 25.164609 s, 111 MB/s
2913992704 bytes (2.9 GB) copied, 26.171737 s, 111 MB/s
3026190336 bytes (3.0 GB) copied, 27.177923 s, 111 MB/s
3138387968 bytes (3.1 GB) copied, 28.184065 s, 111 MB/s
3250585600 bytes (3.3 GB) copied, 29.189651 s, 111 MB/s
3362783232 bytes (3.4 GB) copied, 30.195535 s, 111 MB/s
3474980864 bytes (3.5 GB) copied, 31.201614 s, 111 MB/s
3587178496 bytes (3.6 GB) copied, 32.206876 s, 111 MB/s
3699376128 bytes (3.7 GB) copied, 33.212370 s, 111 MB/s
3811573760 bytes (3.8 GB) copied, 34.218008 s, 111 MB/s
3923771392 bytes (3.9 GB) copied, 35.223898 s, 111 MB/s
4035969024 bytes (4.0 GB) copied, 36.229365 s, 111 MB/s
4148166656 bytes (4.1 GB) copied, 37.235681 s, 111 MB/s
4260364288 bytes (4.3 GB) copied, 38.242237 s, 111 MB/s
4372561920 bytes (4.4 GB) copied, 39.248457 s, 111 MB/s
4484759552 bytes (4.5 GB) copied, 40.256322 s, 111 MB/s
4596957184 bytes (4.6 GB) copied, 41.263813 s, 111 MB/s
4709154816 bytes (4.7 GB) copied, 42.270632 s, 111 MB/s
4821352448 bytes (4.8 GB) copied, 43.277927 s, 111 MB/s
4933550080 bytes (4.9 GB) copied, 44.285086 s, 111 MB/s
5045747712 bytes (5.0 GB) copied, 45.291469 s, 111 MB/s
5157945344 bytes (5.2 GB) copied, 46.297594 s, 111 MB/s
5270142976 bytes (5.3 GB) copied, 47.303477 s, 111 MB/s
5382340608 bytes (5.4 GB) copied, 48.309205 s, 111 MB/s
5494538240 bytes (5.5 GB) copied, 49.315021 s, 111 MB/s
5606735872 bytes (5.6 GB) copied, 50.320637 s, 111 MB/s
5718933504 bytes (5.7 GB) copied, 51.326619 s, 111 MB/s
5831131136 bytes (5.8 GB) copied, 52.332368 s, 111 MB/s
5943328768 bytes (5.9 GB) copied, 53.337864 s, 111 MB/s
6055526400 bytes (6.1 GB) copied, 54.342679 s, 111 MB/s
6167724032 bytes (6.2 GB) copied, 55.348536 s, 111 MB/s
6279921664 bytes (6.3 GB) copied, 56.354157 s, 111 MB/s
6392119296 bytes (6.4 GB) copied, 57.360032 s, 111 MB/s
6504316928 bytes (6.5 GB) copied, 58.366102 s, 111 MB/s
6616514560 bytes (6.6 GB) copied, 59.372319 s, 111 MB/s
6728712192 bytes (6.7 GB) copied, 60.378945 s, 111 MB/s
6840909824 bytes (6.8 GB) copied, 61.385988 s, 111 MB/s
6953107456 bytes (7.0 GB) copied, 62.392616 s, 111 MB/s
7065305088 bytes (7.1 GB) copied, 63.399563 s, 111 MB/s
7177502720 bytes (7.2 GB) copied, 64.405187 s, 111 MB/s
7289700352 bytes (7.3 GB) copied, 65.410697 s, 111 MB/s
7401897984 bytes (7.4 GB) copied, 66.416489 s, 111 MB/s
7514095616 bytes (7.5 GB) copied, 67.422557 s, 111 MB/s
7626293248 bytes (7.6 GB) copied, 68.428853 s, 111 MB/s
7738490880 bytes (7.7 GB) copied, 69.434986 s, 111 MB/s
7850688512 bytes (7.9 GB) copied, 70.441808 s, 111 MB/s
7962886144 bytes (8.0 GB) copied, 71.448378 s, 111 MB/s
8075083776 bytes (8.1 GB) copied, 72.454624 s, 111 MB/s
8187281408 bytes (8.2 GB) copied, 73.460784 s, 111 MB/s
8299479040 bytes (8.3 GB) copied, 74.466723 s, 111 MB/s
8411676672 bytes (8.4 GB) copied, 75.472561 s, 111 MB/s
8523874304 bytes (8.5 GB) copied, 76.478599 s, 111 MB/s
8636071936 bytes (8.6 GB) copied, 77.484764 s, 111 MB/s
8748269568 bytes (8.7 GB) copied, 78.491052 s, 111 MB/s
8860467200 bytes (8.9 GB) copied, 79.498095 s, 111 MB/s
8972664832 bytes (9.0 GB) copied, 80.505271 s, 111 MB/s
9084862464 bytes (9.1 GB) copied, 81.512740 s, 111 MB/s
9197060096 bytes (9.2 GB) copied, 82.519516 s, 111 MB/s
9309257728 bytes (9.3 GB) copied, 83.526638 s, 111 MB/s
9421455360 bytes (9.4 GB) copied, 84.533350 s, 111 MB/s
9533652992 bytes (9.5 GB) copied, 85.540190 s, 111 MB/s
9645850624 bytes (9.6 GB) copied, 86.547054 s, 111 MB/s
9758048256 bytes (9.8 GB) copied, 87.553086 s, 111 MB/s
9870245888 bytes (9.9 GB) copied, 88.558906 s, 111 MB/s
9982443520 bytes (10 GB) copied, 89.565021 s, 111 MB/s
10094641152 bytes (10 GB) copied, 90.572756 s, 111 MB/s
10206838784 bytes (10 GB) copied, 91.577938 s, 111 MB/s
10319036416 bytes (10 GB) copied, 92.583631 s, 111 MB/s
10431234048 bytes (10 GB) copied, 93.588815 s, 111 MB/s
10000+0 records in
10000+0 records out
10485760000 bytes (10 GB) copied, 94.0784 s, 111 MB/s
