
112197632 bytes (112 MB) copied, 1.003825 s, 112 MB/s
223346688 bytes (223 MB) copied, 2.007976 s, 111 MB/s
335544320 bytes (336 MB) copied, 3.009537 s, 111 MB/s
447741952 bytes (448 MB) copied, 4.011821 s, 112 MB/s
559939584 bytes (560 MB) copied, 5.013967 s, 112 MB/s
672137216 bytes (672 MB) copied, 6.016403 s, 112 MB/s
784334848 bytes (784 MB) copied, 7.019685 s, 112 MB/s
896532480 bytes (897 MB) copied, 8.022403 s, 112 MB/s
1008730112 bytes (1.0 GB) copied, 9.024896 s, 112 MB/s
1120927744 bytes (1.1 GB) copied, 10.027156 s, 112 MB/s
1233125376 bytes (1.2 GB) copied, 11.029381 s, 112 MB/s
1345323008 bytes (1.3 GB) copied, 12.031761 s, 112 MB/s
1457520640 bytes (1.5 GB) copied, 13.033704 s, 112 MB/s
1569718272 bytes (1.6 GB) copied, 14.036107 s, 112 MB/s
1681915904 bytes (1.7 GB) copied, 15.038605 s, 112 MB/s
1794113536 bytes (1.8 GB) copied, 16.041037 s, 112 MB/s
1906311168 bytes (1.9 GB) copied, 17.042877 s, 112 MB/s
2018508800 bytes (2.0 GB) copied, 18.044547 s, 112 MB/s
2130706432 bytes (2.1 GB) copied, 19.046230 s, 112 MB/s
2242904064 bytes (2.2 GB) copied, 20.047940 s, 112 MB/s
2355101696 bytes (2.4 GB) copied, 21.048851 s, 112 MB/s
2467299328 bytes (2.5 GB) copied, 22.050552 s, 112 MB/s
2579496960 bytes (2.6 GB) copied, 23.052382 s, 112 MB/s
2691694592 bytes (2.7 GB) copied, 24.054895 s, 112 MB/s
2803892224 bytes (2.8 GB) copied, 25.057506 s, 112 MB/s
2916089856 bytes (2.9 GB) copied, 26.059972 s, 112 MB/s
3028287488 bytes (3.0 GB) copied, 27.062398 s, 112 MB/s
3140485120 bytes (3.1 GB) copied, 28.064615 s, 112 MB/s
3252682752 bytes (3.3 GB) copied, 29.066962 s, 112 MB/s
3364880384 bytes (3.4 GB) copied, 30.069671 s, 112 MB/s
3477078016 bytes (3.5 GB) copied, 31.072666 s, 112 MB/s
3589275648 bytes (3.6 GB) copied, 32.075186 s, 112 MB/s
3701473280 bytes (3.7 GB) copied, 33.077735 s, 112 MB/s
3813670912 bytes (3.8 GB) copied, 34.080128 s, 112 MB/s
3925868544 bytes (3.9 GB) copied, 35.082804 s, 112 MB/s
4038066176 bytes (4.0 GB) copied, 36.085219 s, 112 MB/s
4150263808 bytes (4.2 GB) copied, 37.087722 s, 112 MB/s
4262461440 bytes (4.3 GB) copied, 38.089653 s, 112 MB/s
4374659072 bytes (4.4 GB) copied, 39.091353 s, 112 MB/s
4486856704 bytes (4.5 GB) copied, 40.094081 s, 112 MB/s
4599054336 bytes (4.6 GB) copied, 41.095977 s, 112 MB/s
4711251968 bytes (4.7 GB) copied, 42.097759 s, 112 MB/s
4823449600 bytes (4.8 GB) copied, 43.099896 s, 112 MB/s
4935647232 bytes (4.9 GB) copied, 44.101335 s, 112 MB/s
5047844864 bytes (5.0 GB) copied, 45.103334 s, 112 MB/s
5160042496 bytes (5.2 GB) copied, 46.106010 s, 112 MB/s
5272240128 bytes (5.3 GB) copied, 47.108786 s, 112 MB/s
5384437760 bytes (5.4 GB) copied, 48.110972 s, 112 MB/s
5496635392 bytes (5.5 GB) copied, 49.113033 s, 112 MB/s
5608833024 bytes (5.6 GB) copied, 50.115124 s, 112 MB/s
5721030656 bytes (5.7 GB) copied, 51.117983 s, 112 MB/s
5833228288 bytes (5.8 GB) copied, 52.121010 s, 112 MB/s
5945425920 bytes (5.9 GB) copied, 53.124129 s, 112 MB/s
6057623552 bytes (6.1 GB) copied, 54.126689 s, 112 MB/s
6169821184 bytes (6.2 GB) copied, 55.128979 s, 112 MB/s
6282018816 bytes (6.3 GB) copied, 56.131105 s, 112 MB/s
6394216448 bytes (6.4 GB) copied, 57.133119 s, 112 MB/s
6506414080 bytes (6.5 GB) copied, 58.135286 s, 112 MB/s
6618611712 bytes (6.6 GB) copied, 59.137264 s, 112 MB/s
6730809344 bytes (6.7 GB) copied, 60.140326 s, 112 MB/s
6843006976 bytes (6.8 GB) copied, 61.142397 s, 112 MB/s
6955204608 bytes (7.0 GB) copied, 62.143479 s, 112 MB/s
7067402240 bytes (7.1 GB) copied, 63.144973 s, 112 MB/s
7179599872 bytes (7.2 GB) copied, 64.146679 s, 112 MB/s
7291797504 bytes (7.3 GB) copied, 65.148092 s, 112 MB/s
7403995136 bytes (7.4 GB) copied, 66.149990 s, 112 MB/s
7516192768 bytes (7.5 GB) copied, 67.151916 s, 112 MB/s
7628390400 bytes (7.6 GB) copied, 68.154117 s, 112 MB/s
7740588032 bytes (7.7 GB) copied, 69.155773 s, 112 MB/s
7852785664 bytes (7.9 GB) copied, 70.157832 s, 112 MB/s
7964983296 bytes (8.0 GB) copied, 71.160689 s, 112 MB/s
8077180928 bytes (8.1 GB) copied, 72.162908 s, 112 MB/s
8189378560 bytes (8.2 GB) copied, 73.164143 s, 112 MB/s
8301576192 bytes (8.3 GB) copied, 74.165223 s, 112 MB/s
8413773824 bytes (8.4 GB) copied, 75.166596 s, 112 MB/s
8525971456 bytes (8.5 GB) copied, 76.167806 s, 112 MB/s
8638169088 bytes (8.6 GB) copied, 77.168420 s, 112 MB/s
8750366720 bytes (8.8 GB) copied, 78.169649 s, 112 MB/s
8862564352 bytes (8.9 GB) copied, 79.170781 s, 112 MB/s
8974761984 bytes (9.0 GB) copied, 80.171903 s, 112 MB/s
9086959616 bytes (9.1 GB) copied, 81.173101 s, 112 MB/s
9199157248 bytes (9.2 GB) copied, 82.174274 s, 112 MB/s
9311354880 bytes (9.3 GB) copied, 83.175786 s, 112 MB/s
9423552512 bytes (9.4 GB) copied, 84.177655 s, 112 MB/s
