
111149056 bytes (111 MB) copied, 1.005228 s, 111 MB/s
220200960 bytes (220 MB) copied, 2.008825 s, 110 MB/s
331350016 bytes (331 MB) copied, 3.014105 s, 110 MB/s
442499072 bytes (442 MB) copied, 4.018319 s, 110 MB/s
553648128 bytes (554 MB) copied, 5.022614 s, 110 MB/s
664797184 bytes (665 MB) copied, 6.028755 s, 110 MB/s
775946240 bytes (776 MB) copied, 7.034480 s, 110 MB/s
887095296 bytes (887 MB) copied, 8.039027 s, 110 MB/s
998244352 bytes (998 MB) copied, 9.043588 s, 110 MB/s
1109393408 bytes (1.1 GB) copied, 10.048961 s, 110 MB/s
1220542464 bytes (1.2 GB) copied, 11.054741 s, 110 MB/s
1331691520 bytes (1.3 GB) copied, 12.059663 s, 110 MB/s
1442840576 bytes (1.4 GB) copied, 13.064788 s, 110 MB/s
1553989632 bytes (1.6 GB) copied, 14.070035 s, 110 MB/s
1665138688 bytes (1.7 GB) copied, 15.074791 s, 110 MB/s
1776287744 bytes (1.8 GB) copied, 16.078512 s, 110 MB/s
1888485376 bytes (1.9 GB) copied, 17.087163 s, 111 MB/s
2000683008 bytes (2.0 GB) copied, 18.096263 s, 111 MB/s
2111832064 bytes (2.1 GB) copied, 19.096416 s, 111 MB/s
2224029696 bytes (2.2 GB) copied, 20.105399 s, 111 MB/s
2335178752 bytes (2.3 GB) copied, 21.106040 s, 111 MB/s
2447376384 bytes (2.4 GB) copied, 22.115360 s, 111 MB/s
2559574016 bytes (2.6 GB) copied, 23.124462 s, 111 MB/s
2671771648 bytes (2.7 GB) copied, 24.133585 s, 111 MB/s
2782920704 bytes (2.8 GB) copied, 25.133800 s, 111 MB/s
2895118336 bytes (2.9 GB) copied, 26.142639 s, 111 MB/s
3006267392 bytes (3.0 GB) copied, 27.143117 s, 111 MB/s
3117416448 bytes (3.1 GB) copied, 28.143645 s, 111 MB/s
3228565504 bytes (3.2 GB) copied, 29.144254 s, 111 MB/s
3340763136 bytes (3.3 GB) copied, 30.153513 s, 111 MB/s
3452960768 bytes (3.5 GB) copied, 31.162888 s, 111 MB/s
3564109824 bytes (3.6 GB) copied, 32.163492 s, 111 MB/s
3675258880 bytes (3.7 GB) copied, 33.163925 s, 111 MB/s
3786407936 bytes (3.8 GB) copied, 34.164479 s, 111 MB/s
3897556992 bytes (3.9 GB) copied, 35.165928 s, 111 MB/s
4008706048 bytes (4.0 GB) copied, 36.167902 s, 111 MB/s
4119855104 bytes (4.1 GB) copied, 37.171141 s, 111 MB/s
4231004160 bytes (4.2 GB) copied, 38.174973 s, 111 MB/s
4342153216 bytes (4.3 GB) copied, 39.178094 s, 111 MB/s
4453302272 bytes (4.5 GB) copied, 40.178694 s, 111 MB/s
4564451328 bytes (4.6 GB) copied, 41.179145 s, 111 MB/s
4676648960 bytes (4.7 GB) copied, 42.188524 s, 111 MB/s
4788846592 bytes (4.8 GB) copied, 43.197468 s, 111 MB/s
4899995648 bytes (4.9 GB) copied, 44.197996 s, 111 MB/s
5012193280 bytes (5.0 GB) copied, 45.207337 s, 111 MB/s
5123342336 bytes (5.1 GB) copied, 46.208332 s, 111 MB/s
5234491392 bytes (5.2 GB) copied, 47.208975 s, 111 MB/s
5345640448 bytes (5.3 GB) copied, 48.209405 s, 111 MB/s
5456789504 bytes (5.5 GB) copied, 49.210108 s, 111 MB/s
5567938560 bytes (5.6 GB) copied, 50.210447 s, 111 MB/s
5679087616 bytes (5.7 GB) copied, 51.211563 s, 111 MB/s
5790236672 bytes (5.8 GB) copied, 52.211963 s, 111 MB/s
5901385728 bytes (5.9 GB) copied, 53.212223 s, 111 MB/s
6013583360 bytes (6.0 GB) copied, 54.221569 s, 111 MB/s
6124732416 bytes (6.1 GB) copied, 55.222639 s, 111 MB/s
6235881472 bytes (6.2 GB) copied, 56.223254 s, 111 MB/s
6347030528 bytes (6.3 GB) copied, 57.224166 s, 111 MB/s
6458179584 bytes (6.5 GB) copied, 58.225763 s, 111 MB/s
6569328640 bytes (6.6 GB) copied, 59.226253 s, 111 MB/s
6681526272 bytes (6.7 GB) copied, 60.235326 s, 111 MB/s
6792675328 bytes (6.8 GB) copied, 61.236280 s, 111 MB/s
6904872960 bytes (6.9 GB) copied, 62.245383 s, 111 MB/s
7017070592 bytes (7.0 GB) copied, 63.254303 s, 111 MB/s
7128219648 bytes (7.1 GB) copied, 64.254382 s, 111 MB/s
7240417280 bytes (7.2 GB) copied, 65.262672 s, 111 MB/s
7352614912 bytes (7.4 GB) copied, 66.272021 s, 111 MB/s
7464812544 bytes (7.5 GB) copied, 67.281037 s, 111 MB/s
7575961600 bytes (7.6 GB) copied, 68.281269 s, 111 MB/s
7687110656 bytes (7.7 GB) copied, 69.281420 s, 111 MB/s
7799308288 bytes (7.8 GB) copied, 70.290546 s, 111 MB/s
7910457344 bytes (7.9 GB) copied, 71.291970 s, 111 MB/s
8021606400 bytes (8.0 GB) copied, 72.292309 s, 111 MB/s
8132755456 bytes (8.1 GB) copied, 73.293326 s, 111 MB/s
8243904512 bytes (8.2 GB) copied, 74.293353 s, 111 MB/s
8356102144 bytes (8.4 GB) copied, 75.302763 s, 111 MB/s
8467251200 bytes (8.5 GB) copied, 76.304030 s, 111 MB/s
8579448832 bytes (8.6 GB) copied, 77.312972 s, 111 MB/s
8690597888 bytes (8.7 GB) copied, 78.313660 s, 111 MB/s
8801746944 bytes (8.8 GB) copied, 79.313778 s, 111 MB/s
8913944576 bytes (8.9 GB) copied, 80.322776 s, 111 MB/s
9026142208 bytes (9.0 GB) copied, 81.332043 s, 111 MB/s
9138339840 bytes (9.1 GB) copied, 82.341177 s, 111 MB/s
9250537472 bytes (9.3 GB) copied, 83.350499 s, 111 MB/s
9362735104 bytes (9.4 GB) copied, 84.359446 s, 111 MB/s
9474932736 bytes (9.5 GB) copied, 85.368795 s, 111 MB/s
9586081792 bytes (9.6 GB) copied, 86.369210 s, 111 MB/s
9697230848 bytes (9.7 GB) copied, 87.369542 s, 111 MB/s
9809428480 bytes (9.8 GB) copied, 88.378644 s, 111 MB/s
9920577536 bytes (9.9 GB) copied, 89.379101 s, 111 MB/s
10031726592 bytes (10 GB) copied, 90.379115 s, 111 MB/s
10142875648 bytes (10 GB) copied, 91.379482 s, 111 MB/s
10255073280 bytes (10 GB) copied, 92.388819 s, 111 MB/s
10366222336 bytes (10 GB) copied, 93.389018 s, 111 MB/s
10478419968 bytes (10 GB) copied, 94.398424 s, 111 MB/s
10000+0 records in
10000+0 records out
10485760000 bytes (10 GB) copied, 94.4653 s, 111 MB/s
